Whistleblower_Law,Partner_Agency,Statute_Code,Statute
Affordable Care Act (ACA),Employee Benefits Security Administration,ACA,ACA
Asbestos Hazard Emergency Response Act (AHERA),Environmental Protection Agency,AHERA,AHERA
Clean Air Act (CAA),Environmental Protection Agency,CAA,EPA
"Comprehensive Environmental Response, Compensation and Liability Act (CERCLA)",Environmental Protection Agency,CERCLA,EPA
Consumer Financial Protection Act of 2010 (CFPA),Consumer Financial Protection Bureau,CFPA,CFPA
Consumer Product Safety Improvement Act (CPSIA),Consumer Product Safety Commission,CPSIA,CPSIA
Energy Reorganization Act (ERA),"Nuclear Regulatory Commission
			Department of Energy",ERA,ERA
FDA Food Safety Modernization Act (FSMA),Food & Drug Administration,FSMA,FSMA
Federal Railroad Safety Act (FRSA),Federal Railroad Administration,FRSA,FRSA
Federal Water Pollution Control Act (FWPCA),Environmental Protection Agency,FWPCA,EPA
International Safe Container Act (ISCA),U.S. Coast Guard,ISCA,ISCA
Moving Ahead for Progress in the 21st Century Act (MAP-21),National Highway Traffic Safety Administration,MAP21,MAP21
National Transit Systems Security Act (NTSSA),Federal Transit Administration,NTSSA,NTSSA
Pipeline Safety Improvement Act (PSIA),Pipeline and Hazardous Materials Safety Administration,PSIA,PSIA
Safe Drinking Water Act (SDWA),Environmental Protection Agency,SDWA,EPA
Sarbanes-Oxley Act (SOX),Securities and Exchange Commission,SOX,SOX
Seaman's Protection Act (SPA),U.S. Coast Guard,SPA,SPA
Solid Waste Disposal Act (SWDA),Environmental Protection Agency,SWDA,EPA
Surface Transportation Assistance Act (STAA),Federal Motor Carrier Safety Administration,STAA,STAA
Toxic Substances Control Act (TSCA),Environmental Protection Agency,TSCA,EPA
Wendell H. Ford Aviation Investment and Reform Act for the 21st Century (AIR21),Federal Aviation Administration,AIR21,AIR21
